Date,Price,Open,High,Low,Change %
6-Jan-80,2.2573,2.2573,2.2573,2.2573,0.90%
13-Jan-80,2.2815,2.2815,2.2815,2.2815,1.07%
20-Jan-80,2.2748,2.2748,2.2748,2.2748,-0.29%
27-Jan-80,2.2774,2.2774,2.2774,2.2774,0.11%
3-Feb-80,2.2978,2.2978,2.2978,2.2978,0.90%
10-Feb-80,2.301,2.301,2.301,2.301,0.14%
17-Feb-80,2.2769,2.2769,2.2769,2.2769,-1.05%
24-Feb-80,2.2743,2.2743,2.2743,2.2743,-0.11%
2-Mar-80,2.2227,2.2227,2.2227,2.2227,-2.27%
9-Mar-80,2.2119,2.2119,2.2119,2.2119,-0.49%
16-Mar-80,2.1815,2.1815,2.1815,2.1815,-1.37%
23-Mar-80,2.1749,2.1749,2.1749,2.1749,-0.30%
30-Mar-80,2.1395,2.1395,2.1395,2.1395,-1.63%
6-Apr-80,2.1959,2.1959,2.1959,2.1959,2.64%
13-Apr-80,2.2287,2.2287,2.2287,2.2287,1.49%
20-Apr-80,2.2779,2.2779,2.2779,2.2779,2.21%
27-Apr-80,2.263,2.263,2.263,2.263,-0.65%
4-May-80,2.2701,2.2701,2.2701,2.2701,0.31%
11-May-80,2.2857,2.2857,2.2857,2.2857,0.69%
18-May-80,2.3447,2.3447,2.3447,2.3447,2.58%
25-May-80,2.3452,2.3452,2.3452,2.3452,0.02%
1-Jun-80,2.331,2.331,2.331,2.331,-0.61%
8-Jun-80,2.3425,2.3425,2.3425,2.3425,0.49%
15-Jun-80,2.3381,2.3381,2.3381,2.3381,-0.19%
22-Jun-80,2.3496,2.3496,2.3496,2.3496,0.49%
29-Jun-80,2.354,2.354,2.354,2.354,0.19%
6-Jul-80,2.3776,2.3776,2.3776,2.3776,1.00%
13-Jul-80,2.3736,2.3736,2.3736,2.3736,-0.17%
20-Jul-80,2.3929,2.3929,2.3929,2.3929,0.81%
27-Jul-80,2.3337,2.3337,2.3337,2.3337,-2.47%
3-Aug-80,2.373,2.373,2.373,2.373,1.68%
10-Aug-80,2.377,2.377,2.377,2.377,0.17%
17-Aug-80,2.368,2.368,2.368,2.368,-0.38%
24-Aug-80,2.3941,2.3941,2.3941,2.3941,1.10%
31-Aug-80,2.4155,2.4155,2.4155,2.4155,0.89%
7-Sep-80,2.4137,2.4137,2.4137,2.4137,-0.07%
14-Sep-80,2.3855,2.3855,2.3855,2.3855,-1.17%
21-Sep-80,2.3946,2.3946,2.3946,2.3946,0.38%
28-Sep-80,2.3895,2.3895,2.3895,2.3895,-0.21%
5-Oct-80,2.4056,2.4056,2.4056,2.4056,0.67%
12-Oct-80,2.4172,2.4172,2.4172,2.4172,0.48%
19-Oct-80,2.4498,2.4498,2.4498,2.4498,1.35%
26-Oct-80,2.4372,2.4372,2.4372,2.4372,-0.51%
2-Nov-80,2.4143,2.4143,2.4143,2.4143,-0.94%
9-Nov-80,2.4038,2.4038,2.4038,2.4038,-0.43%
16-Nov-80,2.3641,2.3641,2.3641,2.3641,-1.65%
23-Nov-80,2.3585,2.3585,2.3585,2.3585,-0.24%
30-Nov-80,2.3397,2.3397,2.3397,2.3397,-0.80%
7-Dec-80,2.324,2.324,2.324,2.324,-0.67%
14-Dec-80,2.3272,2.3272,2.3272,2.3272,0.14%
21-Dec-80,2.3702,2.3702,2.3702,2.3702,1.85%
28-Dec-80,2.3798,2.3798,2.3798,2.3798,0.41%
4-Jan-81,2.3998,2.3998,2.3998,2.3998,0.84%
11-Jan-81,2.3987,2.3987,2.3987,2.3987,-0.05%
18-Jan-81,2.4073,2.4073,2.4073,2.4073,0.36%
25-Jan-81,2.3753,2.3753,2.3753,2.3753,-1.33%
1-Feb-81,2.331,2.331,2.331,2.331,-1.87%
8-Feb-81,2.2894,2.2894,2.2894,2.2894,-1.78%
15-Feb-81,2.325,2.325,2.325,2.325,1.55%
22-Feb-81,2.2031,2.2031,2.2031,2.2031,-5.24%
1-Mar-81,2.1935,2.1935,2.1935,2.1935,-0.44%
8-Mar-81,2.2207,2.2207,2.2207,2.2207,1.24%
15-Mar-81,2.2707,2.2707,2.2707,2.2707,2.25%
22-Mar-81,2.2297,2.2297,2.2297,2.2297,-1.81%
29-Mar-81,2.2036,2.2036,2.2036,2.2036,-1.17%
5-Apr-81,2.1858,2.1858,2.1858,2.1858,-0.81%
12-Apr-81,2.1515,2.1515,2.1515,2.1515,-1.57%
19-Apr-81,2.1697,2.1697,2.1697,2.1697,0.85%
26-Apr-81,2.1427,2.1427,2.1427,2.1427,-1.24%
3-May-81,2.1155,2.1155,2.1155,2.1155,-1.27%
10-May-81,2.0786,2.0786,2.0786,2.0786,-1.74%
17-May-81,2.0747,2.0747,2.0747,2.0747,-0.19%
24-May-81,2.0704,2.0704,2.0704,2.0704,-0.21%
31-May-81,1.915,1.915,1.915,1.915,-7.51%
7-Jun-81,1.9573,1.9573,1.9573,1.9573,2.21%
14-Jun-81,1.9631,1.9631,1.9631,1.9631,0.30%
21-Jun-81,1.9486,1.9486,1.9486,1.9486,-0.74%
28-Jun-81,1.8936,1.8936,1.8936,1.8936,-2.82%
5-Jul-81,1.8965,1.8965,1.8965,1.8965,0.15%
12-Jul-81,1.8801,1.8801,1.8801,1.8801,-0.86%
19-Jul-81,1.8625,1.8625,1.8625,1.8625,-0.94%
26-Jul-81,1.8481,1.8481,1.8481,1.8481,-0.77%
2-Aug-81,1.7944,1.7944,1.7944,1.7944,-2.91%
9-Aug-81,1.806,1.806,1.806,1.806,0.65%
16-Aug-81,1.8674,1.8674,1.8674,1.8674,3.40%
